GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webflux-again,com.kubepay.webflux.stockquote,QuoteHandler,0,53,0,0,0,8,0,5,0,5
webflux-again,com.kubepay.webflux.stockquote,Quote,0,71,0,0,0,13,0,11,0,11
webflux-again,com.kubepay.webflux.stockquote,QuoteRoutes,0,76,0,0,0,6,0,2,0,2
webflux-again,com.kubepay.webflux.stockquote,QuoteGenerator,0,165,0,0,0,24,0,7,0,7
webflux-again,com.kubepay.webflux.customer,Address.AddressBuilder,42,44,0,0,0,1,2,7,2,7
webflux-again,com.kubepay.webflux.customer,CustomerServiceExceptionHandler,15,3,0,0,2,1,2,1,2,1
webflux-again,com.kubepay.webflux.customer,MaritalStatus,5,53,0,0,0,2,1,3,1,3
webflux-again,com.kubepay.webflux.customer,CustomerServiceException,3,12,0,0,1,5,1,2,1,2
webflux-again,com.kubepay.webflux.customer,Gender,5,43,0,0,0,2,1,3,1,3
webflux-again,com.kubepay.webflux.customer,Address,280,43,54,0,2,8,38,8,11,8
webflux-again,com.kubepay.webflux.customer,Customer,315,192,62,24,0,14,54,16,12,15
webflux-again,com.kubepay.webflux.customer,PhoneType,5,53,0,0,0,2,1,3,1,3
webflux-again,com.kubepay.webflux.customer,Customer.CustomerBuilder,82,52,0,0,0,1,6,7,6,7
webflux-again,com.kubepay.webflux.customer,CustomerType,5,33,0,0,0,2,1,3,1,3
webflux-again,com.kubepay.webflux.customer,CustomerController,0,143,0,6,0,27,0,17,0,14
webflux-again,com.kubepay.webflux.component,LoggingAspect,127,0,6,0,19,0,9,0,6,0
webflux-again,com.kubepay.webflux.component,CorsAndCachingFilter,13,76,1,1,3,13,1,3,0,3
webflux-again,com.kubepay.webflux.trading,TradingUser,91,99,20,10,5,5,20,8,6,7
webflux-again,com.kubepay.webflux.trading,WebSocketController,2,3,0,0,1,1,1,1,1,1
webflux-again,com.kubepay.webflux.trading,EchoWebSocketHandler,0,12,0,0,0,2,0,2,0,2
webflux-again,com.kubepay.webflux.trading,UserController,0,15,0,0,0,5,0,3,0,3
webflux-again,com.kubepay.webflux.trading,QuotesController,23,3,0,0,9,1,2,1,2,1
webflux-again,com.kubepay.webflux.trading,HomeController,9,6,0,0,2,3,1,1,1,1
webflux-again,com.kubepay.webflux.trading,WebSocketRouter,0,30,0,0,0,8,0,3,0,3
webflux-again,com.kubepay.webflux.trading,Quote,73,0,0,0,19,0,11,0,11,0
webflux-again,com.kubepay.webflux.movie,MovieServiceImpl,106,3,12,0,27,1,14,1,8,1
webflux-again,com.kubepay.webflux.movie,MovieRequest,212,0,38,0,5,0,32,0,13,0
webflux-again,com.kubepay.webflux.movie,MovieRestController,78,3,0,0,11,1,12,1,12,1
webflux-again,com.kubepay.webflux.movie,Movie,212,0,38,0,5,0,32,0,13,0
webflux-again,com.kubepay.webflux,WebfluxAgainApplication,5,3,0,0,2,1,1,1,1,1
